product_name,categories,brands,quantity,packaging,labels,ingredients_text,nutriments_energy_kcal,nutriments_fat,nutriments_saturated_fat,nutriments_carbohydrates,nutriments_sugars,nutriments_proteins,nutriments_fiber,nutriments_salt,nutriments_sodium,nutrition_grade,price
Country Crisp 4 noix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Breakfast cereals rich in fibre,Cereals with nuts,Crunchy cereal clusters,Cereal clusters with nuts",Jordans,550 g,"Plastique,Sachet,Carton,Étui,FSC Recyclé","Low or no salt,Sustainable,Vegetarian,No artificial flavors,No GMOs,No preservatives,FSC,FSC Mix,No added salt,No artificial additives,No colorings,No dyes or preservatives,No palm oil,Triman","Céréales complètes (48%) (flocons d'_avoine_, farine d'_avoine_), sucre, noix (14%) (_noisettes_ grillées en morceaux et entières, _amandes_ effilées et entières, morceaux de _noix du Brésil_, éclats de _noix de pécan_), flocons d'_orge_, huile végétale (huile de colza, huile de tournesol), farine de riz, noix de coco séchée, arôme naturel.",465,20,2.6,58,18,11,6.1,0.03,0.012,c,
Copos de avena,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Rolled oats",Brüggen,500 g,"Paper,Container","Vegetarian, Source of fibre, Vegan, Green Dot, High fibres, Lowers cholesterol",oats,375,7,1.3,59,0.7,14,10,0.02,0.008,a,
simply nutty muesli,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis,Cereals with nuts,Mueslis with nuts,Nuts",dorset cereals,560 g,,"Vegetarian, Kosher, Vegan, Kashrut division of the London Beth Din, No added sugar, en:vegetarian-society-approved-vegan","wholegrain oat flakes,  chopped dates, barley flakes, wholegrain wheat flakes, chopped roasted hazelnuts, whole almonds, chopped brazil nuts, sunflower seeds",376,6.8,1.1,64.4,14.2,9.9,8.6,0.03,0.012,a,
Muesli Crunchy 0%,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Semillas,Cereales y derivados,Cereales para el desayuno,Cereales en grano,Muesli,Cereales-muesly",Hacendado,500g,,"Punto Verde,Sin azúcares añadidos","Copos de avena (gluten) (52%), fibras vegetales (achicoria, maiz), harina (20%) (arroz, trigo (gluten)), aceite de girasol alto oleico, extracto de malta de cebada (gluten), aromas, sal. Puede contener trazas de frutos de cáscara, soja, leche, cacahuetes, semillas de sésamo, sulfitos y mostaza.",401,12,1.4,52,3.2,8.8,23,0.08,0.032,a,
Bitesize shredded wheat,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Extruded cereals,Cereals",Nestlé,720 g,"en:card-box, en:hdpeFilm-bag","Vegetarian,Vegan",Whole Grain Wheat (100%),367,2.2,0.5,68.7,0.7,11.8,12.5,0.05,0.02,a,
Wheat Biscuits,"Plant-based foods and beverages,Plant-based foods,Snacks,Breakfasts,Cereals and potatoes,Sweet snacks,Cereals and their products,Breakfast cereals",Tesco,n.48 - 912g,en:card-box,"Vegan,Vegetarian","Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin, Thiamin, Folic Acid. Allergy Advice",358,2,0.6,68,4.4,12,10,0.28,0.112,a,
Super Seedy & Nutty Granola,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Granola",Bio & Me,360g,"en:paper-box, en:hdpe film-bag","no-added-sugar, prebiotic, pt:natural, vegetarian, gut-friendly","Wholegrain Oats (60%), Dates, Chicory Root Fibre, Seeds (5%) (Pumpkin, Sunflower, Brown Linseed), Nuts (4%) (Skin on Almonds, Cashew Nuts), Extra Virgin Olive Oil, Dried Carrot, Puffed Brown Rice, Quinoa, Natural Flavouring.",402,14.4,2.2,50.2,9.6,10.9,14.4,0.03,0.012,a,
Muesli avoine chocolat bio,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Chocolate cereals, Mueslis, Mueslis with chocolate",Bjorg,375 g,"Plástico,Bolsa,en:Dry,fr:Sachet en plastique","Bio,Bio européen,Agriculture non UE,Entreprise B certifiée,DE-ÖKO-001,Agriculture UE,Agriculture UE/Non UE,Point Vert,Fabriqué en Allemagne,en:Planet-Score,AB Agriculture Biologique,Planet-score-b","Flocons d'avoine* complète 35%, Flocons croustillants d'avoine* 33% (avoine complète, miel*), Flocons de blé* complet, Pétales de maïs au chocolat* 7% [pétales de maïs* (maïs*, sucre de canne* brut, sel de mer), sucre de canne* brut, beurre de cacao*, pâte de cacao*, lait* entier en poudre, agent d'enrobage : gomme arabique], Chocolat noir* 7% (pâte de cacao*, sucre de canne* brut, beurre de cacao*), Flocons d'épeautre* complet (blé), Billettes au cacao* (farine de blé*, sucre de canne* brut, farine d'avoine*, poudre de cacao* maigre, farine de malt d'orge*).",390,9.6,3.8,59,8.7,12,10,0.1,0.04,a,
Malt Wheats,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales pour petit déjeuner riches en fibres",Tesco,750 g,"Cardboard, Card-box, Pp-bag","Low or no fat,Low fat,Source of fibre,FSC,FSC Mix,High fibres,Rich in vitamin B12,Rich in vitamin B6,Vegan","Wholewheat Flour, Sugar, Malted Barley Extract, Partially Inverted Sugar Syrup, Salt, Niacin, Iron, Pantothenic Acid, Thiamin, Riboflavin, Vitamin B6, Folic Acid, Vitamin B12.",362,1.25,0.25,82,10,11,11,0.269,0.107,a,
Muesli,"Plant-based foods and beverages,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis",Alpen,550g,Card-box,No added sugar,"Wholegrain Wheat, Rolled Oats, Raisins, Hazelnuts, Almonds",370,5.5,0.9,65,18,12,8,0.275,0.11,b,
Crispy minis imp,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals",Weetabix,500gram,,,"Wholegrain _Wheat_ 88%, Plain Chocolate 12% (Sugar, Cocoa Mass, Cocoa Butter, Emulsifier: Soya Lecithin, Flavouring), Sugar, Salt, Flavouring, Iron, Niacin, Thiamin (B1), Riboflavin (B2), Folic Acid, Vitamin D.",385,5,2.25,70,17,10,10,0.2,0.08,b,
CHOCAPIC BIO Céréales 375g,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales extrudées,Céréales pour petit déjeuner riches en fibres,Pétales de blé chocolatés,Céréales pour petit déjeuner enrichies en vitamines et minéraux","Nestlé, Chocapic",375 g,"Caixa,Cartão,fr:Conteneur,fr:Etui en carton,fr:Film en plastique,fr:Sachet plastique","Bio,Bio européen,Agriculture non UE,Agriculture UE,Agriculture UE/Non UE,FR-BIO-01,Point Vert,Fabriqué en France,Sans huile de palme,Nutriscore,Nutriscore A,Nutriscore B,Rainforest Alliance,AB Agriculture Biologique,Triman, Végétarien","Farine de BLÉ complet¹ 33,0 %, chocolat en poudre 26,5 % (sucre¹, cacao en poudre¹*) farine de BLÉ¹, semoule de maïs¹, sirop de glucose¹, extrait de malt d'ORGE¹, huile de tournesol¹, sel, arôme naturel de vanille, arôme naturel de cannelle. ¹ ingrédients issus de l'agriculture biologique. Peut contenir du LAIT et des FRUITS À COQUE. *Bilan massique certifié Rainforest Alliance. www.ra.org/fr. Nestlé achète une quantité de cacao certifié Rainforest Alliance équivalente à celle nécessaire pour ce produit.",391,5.5,1.6,72.3,22.5,8.8,7.9,0.22,0.088,c,
Céréales Chocapic,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales pour petit déjeuner enrichies en vitamines et minéraux,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit déjeuner non fourrées mais enrichies en vitamines et minéraux,Céréales pour petit déjeuner riches en fibres","Nestlé, Chocapic",430 g,"Caixa,1 film plastique à jeter,1 étui carton à recycler","sans-huile-de-palme, nutriscore, triman, en:point-vert, en:sans-arômes-artificiels, fr:sans-colorants-artificiels, en:sans-colorants-ni-arômes-artificiels, fr:sans-conservateurs","Blé complet 35,0%, chocolat en poudre 22,5% (sucre, cacao en poudre), farine de blé 17,0%, semoule de maïs, sirop de glucose, sucre, extrait de malt d'orge (orge, orge malté), contient de l'huile de tournesol et/ou de palme, carbonate de calcium, émulsifiant : lécithines; sel, arômes naturels, fer, vitamines B3, B5, D, B6, B1, B2 et B9.",388,4.8,2,73.6,22.4,8.8,7.5,0.22,0.088,c,
Low Sugar Nuts & Seeds Granola imp,"Granola for breakfast, Liz-granola-no-sugar, en:mueslis",Lizi’s,,,"Vegetarian, Vegan","Wholegrain oat flakes (67%), nuts (10%) [cashew nut pieces, hazelnut pieces, walnut pieces, almond pieces], rapeseed oil, seeds (7%) [sunflower, pumpkin], desiccated coconut, fructose, black treacle. Toasted wholegrain oat, nut and seed granola.",447,16,2.6,56.8,2.9,13.9,10,0.03,0.012,a,
Country Crisp - Chocolat noir 70% cacao,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Breakfast cereals rich in fibre,Crunchy cereal clusters,Cereal clusters with chocolate",Jordans,550 g,"Plastique,Carton","Sustainable,Vegetarian,No artificial flavors,No preservatives,FSC,FSC Mix,No colorings,No palm oil","Céréales complètes (48%) (flocons d'avoine, farine d'avoine), sucre, copeaux de chocolat noir (12%) (cacao: 70% minimum (masse de cacao, sucre, beurre de cacao, émulsifiant (lécithine de soja), arôme naturel)), flocons d'orge, huile de tournesol, farine de riz, noix de coco séchée, arôme naturel. Peut contenir : lait, noix, gluten.",453,16.7,4.6,63.5,20.8,9.2,6,0.03,0.012,d,
Organic Porridge Oats,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats,Porridge",Kavanagh's,1 kg,Paper-bag,"Organic, Non-EU Agriculture, EU Agriculture, EU/non-EU Agriculture, Soil Association Organic, en:fsc-mix",Organic oat flakes.,360,6,1,60,0.25,11.2,9.75,0.05,0.02,a,
weetabix,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner",Weetabix,225 gr,Card-box,,"wholegrain _wheat_ (95%), malted _barley_ extract, sugar, salt, niacin, iron, riboflavin (b2), thiamin (bi), folic acid",349,2.05,0.513,66.7,4.1,11.5,9.74,0.25,0.1,a,
"Crispy Minis Choco, céréales de blé complet enrichies en vitamines et en fer avec du chocolat","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Surgelés, Céréales pour petit-déjeuner, Céréales au chocolat",Weetabix,500 g,,"Nutriscore, Nutriscore A","Blé complet (88%), chocolat noir (12%) (sucre, pâte de cacao, beurre de cacao, émulsifiant: lécithine de soja, arôme), sucre, sel, arômes, fer, niacine, thiamine (vitamine B1), riboflavine (vitamine B2), acide folique, vitamine D",386,5.09999990463257,2.29999995231628,70,17,10,10,0.16,0.064,b,
original shredded wheat,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales pour petit déjeuner riches en fibres","Nestlé, Nestlé UK Ltd",675g,"Paper-sleeve, en:card-box","Végétarien,Végétalien,The Vegan Society",whole grain  wheat  (100%),360,2.2,0.5,66.7,0.7,12.2,12.2,0.05,0.02,a,
Cruesli Chocolat noir,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Breakfast cereals rich in fibre,Crunchy cereal clusters,Cereal clusters with chocolate",QUAKER,450 g,"Box,Triman,fr:Etui carton à recycler,fr:Pensez au tri!,fr:Point vert,fr:Sachet plastique à jeter,fr:Triman","No artificial flavors,No preservatives,Green Dot,No palm oil,Nutriscore,Nutriscore Grade C,Triman,fr:Chocolat-belge","full oats (37%), dark chocolate* (12%) (cocoa, sugar, natural vanilla flavour, emulsifiers (soy lecithin, polyglycerol polyricinoleate)),sunflower oil,sugar,complete wheat (9,6%),glucose syrup,oligofructose,rice flours and wheat (1,9%),dried coconut,molasses,salt,cinnamon,caramelized sugar,flavourings,antioxidant (tocopherol),*dark chocolate contains a minimum of 65% cocoa,",455,19,4.9,57,16,8.1,10,0.48,0.192,c,
Country Crisp 4 Baies,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Surgelés,Céréales pour petit-déjeuner,Céréales aux fruits,Mueslis,Mueslis aux fruits,Pépites de céréales croustillantes,Pépites de céréales aux fruits,Céréales pour petit déjeuner riches en fibres",Jordans,550 g,"Sachet en plastique à jeter,Étui en carton à recycler","Peu ou pas de sel,en:Sustainable,Végétarien,Sans arômes artificiels,Sans OGM,Sans conservateurs,Source de fibres alimentaires,FSC,FSC Mix,Riche en fibres,Source de magnésium,Sans sel ajouté,Sans colorants,Sans huile de palme,Nutriscore,Nutriscore B,Source de phosphore,Triman","Céréales complètes (54%) (flocons d’avoine, farine d’avoine), sucre, flocons d’orge, huile végétale (huile de colza et de tournesol en proportions variables), farine de riz, baies lyophilisées (2,5%) (groseilles entières, cassis entiers, myrtilles entières, cranberries en tranches), noix de coco séchée, arôme naturel.",432,13,1.8,67,20,9.1,6,0.03,0.012,c,
Irish Organic Jumbo Oats,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Seeds, Cereals and their products, Breakfast cereals, Cereal grains, Flakes, Cereal flakes, Rolled flakes, Rolled oats, Oat",Flahavan's,1kg,en:paper-bag,"Organic,EU Organic,EU Agriculture,IE-ORG-03,Green Dot",100% Organic Wholegrain Rolled Oats,370,5.75,1,65,1,11.2,8.25,0.0125,0.005,a,
Wholegrain Wheat Bixies,"Plant-based foods and beverages, Plant-based foods, Snacks, Breakfasts, Cereals and potatoes, Sweet snacks, Cereals and their products, Biscuits and cakes, Breakfast cereals, Biscuits",Crownfield - Lidl,720g - 36,Cardboard box,"Vegetarian, Green Dot","94% wholegrain  wheat ,  barley  malt extract, sugar, salt, niacin, iron, riboflavin, thiamin, folic acid",362,2.25,0.5,67.8,3,12.7,9.5,0.225,0.09,a,
Oat so Simple,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Rolled flakes, Porridge, Plain porridge","Quaker, Quaker Oats",270g,en:card-carton,,Wholegrain rolled oats,370,7.78,1.11,59.3,1.11,11.1,8.89,0,0,a,
NESTLE CHOCAPIC Céréales 375g,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales pour petit déjeuner enrichies en vitamines et minéraux,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit déjeuner non fourrées mais enrichies en vitamines et minéraux,Céréales pour petit déjeuner riches en fibres","Nestlé, Chocapic",375 g,,"Fabriqué en France,Nutriscore,Nutriscore A,Rainforest Alliance,Triman","Farine de BLÉ complet 35,1 %, chocolat en poudre 22,5 % (sucre, cacao en poudre*), farine de BLÉ 17,0 %, semoule de maïs, sirop de glucose, sucre, extrait de malt d'ORGE (ORGE, ORGE malté), huile de tournesol, carbonate de calcium, émulsifiant : lécithines ; sel, arômes naturels, fer, vitamines B3, B5, D, B6, B1, B2 et B9. Peut contenir du LAIT et des FRUITS À COQUE. *Bilan massique certifié Rainforest Alliance. www.ra.org/fr. Nestlé achète une quantité de cacao certifié Rainforest Alliance équivalente à celle nécessaire pour ce produit.",389,4.8,1.3,73.6,22.4,8.9,7.7,0.22,0.088,c,
Hafer Flocken Zart,"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Getreide und Kartoffeln, Getreideprodukte, Frühstückscerealien, Getreideflocken, Frühstücksflocken, Gerollte Flocken, Haferflocken","Crownfield,Bio Organic,Lidl",500 g,"22 PAP,fr:Sachet papier","Bio, EU-Öko-Verordnung, Ballaststoffquelle, EG-Öko-Verordnung, DE-ÖKO-001, EU-Landwirtschaft, Grüner Punkt, Ballaststoffreich, Nutriscore, Nutriscore Note A, AB Agriculture Biologique, Triman, es:Recicla azul, pt:Ecoponto azul","100% _Hafervollkornflocken_¹.
¹aus kontrolliert ökologischem Anbau.",371,6.7,1.1,59.5,0.8,13.2,9.7,0,0,a,
,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Céréales extrudées,Flocons extrudés,Corn-flakes,Corn flakes natures",Crownfield,500 g,"Container, Card-carton","Point Vert,Nutriscore,Nutriscore C","Maize, Sugar, Barley Malt Extract, Salt. Allergy Advice",386,1.2,0.6,84.9,3,8,1.9,0.78,0.312,c,
All-Bran Original,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Wheat bran sticks","Kellogg,Kellogg's",750 g,"Paper, Box, Cardboard, Card-box, HdpeFilm-bag",,"Wheat bran (86%), sugar, barley malt extract, salt, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. May contain gluten from other cereals.",,3.5,0.7,48,18,14,27,0.95,0.38,c,
