RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,recipe,Unnamed: 1
11,Sushi,109,Chef Chen,40,21,61,2025-05-16,A delicious Thai dish featuring sushi.,https://example.com/sushi.jpg,Side Dish,"Thai, sushi",5 cups chicken,"garlic, chicken",4.6,232,757,41,17,128,1755,51,9,27,40,6,6 servings,"Recipe for Sushi: Mix ingredients, cook for 40 minutes.",
12,Pani Puri,115,Chef Zhang,92,32,124,2025-03-27,A delicious Indian dish featuring pani puri.,https://example.com/pani-puri.jpg,Soup,"Indian, pani puri",3 cups vegetables,"ginger, tofu",5.0,452,781,30,10,32,1378,35,9,25,12,8,8 servings,"Recipe for Pani Puri: Mix ingredients, cook for 92 minutes.",
13,Aloo Gobi,109,Chef Chen,87,58,145,2025-09-03,A delicious Indian dish featuring aloo gobi.,https://example.com/aloo-gobi.jpg,Dessert,"Indian, aloo gobi",2 cups rice,"onion, tofu",4.4,173,551,30,12,60,1599,57,4,22,21,2,2 servings,"Recipe for Aloo Gobi: Mix ingredients, cook for 87 minutes.",
14,Hot Pot,114,Chef Yoon,90,47,137,2025-03-18,A delicious Chinese dish featuring hot pot.,https://example.com/hot-pot.jpg,Side Dish,"Chinese, hot pot",3 cups rice,"onion, tofu",4.3,89,715,34,7,126,1535,37,11,8,30,2,2 servings,"Recipe for Hot Pot: Mix ingredients, cook for 90 minutes.",
15,Rogan Josh,118,Chef Wu,119,48,167,2024-11-12,A delicious Indian dish featuring rogan josh.,https://example.com/rogan-josh.jpg,Breakfast,"Indian, rogan josh",1 cups spices,"tomato, vegetables",4.2,138,562,47,9,103,1288,91,15,7,13,4,4 servings,"Recipe for Rogan Josh: Mix ingredients, cook for 119 minutes.",
16,Nasi Goreng,114,Chef Yoon,88,53,141,2025-06-10,A delicious Vietnamese dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Snack,"Vietnamese, nasi goreng",3 cups chicken,"tomato, vegetables",4.7,286,435,43,14,145,510,33,7,28,17,2,2 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 88 minutes.",
17,Tom Yum,110,Chef Kumar,62,13,75,2025-08-04,A delicious Japanese dish featuring tom yum.,https://example.com/tom-yum.jpg,Soup,"Japanese, tom yum",1 cups spices,"garlic, beef",4.7,50,327,15,19,107,1070,31,11,16,16,4,4 servings,"Recipe for Tom Yum: Mix ingredients, cook for 62 minutes.",
18,Tempura,120,Chef Jung,93,16,109,2024-11-28,A delicious Vietnamese dish featuring tempura.,https://example.com/tempura.jpg,Side Dish,"Vietnamese, tempura",2 cups rice,"ginger, vegetables",4.6,310,314,46,11,107,644,35,7,16,37,8,8 servings,"Recipe for Tempura: Mix ingredients, cook for 93 minutes.",
19,Banh Mi,107,Chef Sharma,22,23,45,2025-04-01,A delicious Japanese dish featuring banh mi.,https://example.com/banh-mi.jpg,Dessert,"Japanese, banh mi",1 cups vegetables,"garlic, beef",4.1,456,450,49,18,81,997,82,13,10,33,3,3 servings,"Recipe for Banh Mi: Mix ingredients, cook for 22 minutes.",
20,Rogan Josh,105,Chef Park,98,22,120,2025-09-28,A delicious Indian dish featuring rogan josh.,https://example.com/rogan-josh.jpg,Breakfast,"Indian, rogan josh",4 cups spices,"onion, tofu",4.2,136,702,17,16,82,1392,97,5,13,13,5,5 servings,"Recipe for Rogan Josh: Mix ingredients, cook for 98 minutes.",
21,Satay,114,Chef Yoon,89,49,138,2025-01-26,A delicious Thai dish featuring satay.,https://example.com/satay.jpg,Soup,"Thai, satay",3 cups rice,"onion, beef",4.5,369,766,23,18,59,1473,50,10,16,30,3,3 servings,"Recipe for Satay: Mix ingredients, cook for 89 minutes.",
22,Sushi,107,Chef Sharma,92,26,118,2025-09-13,A delicious Thai dish featuring sushi.,https://example.com/sushi.jpg,Snack,"Thai, sushi",1 cups vegetables,"onion, beef",4.3,166,434,46,13,36,1414,55,12,6,22,8,8 servings,"Recipe for Sushi: Mix ingredients, cook for 92 minutes.",
23,Ramen,107,Chef Sharma,41,49,90,2025-06-29,A delicious Japanese dish featuring ramen.,https://example.com/ramen.jpg,Soup,"Japanese, ramen",5 cups rice,"garlic, beef",4.1,147,640,28,18,32,977,93,5,28,28,7,7 servings,"Recipe for Ramen: Mix ingredients, cook for 41 minutes.",
24,Green Curry,113,Chef Patel,50,50,100,2025-04-16,A delicious Japanese dish featuring green curry.,https://example.com/green-curry.jpg,Main Dish,"Japanese, green curry",4 cups chicken,"ginger, chicken",4.1,400,211,29,7,41,634,67,9,20,29,4,4 servings,"Recipe for Green Curry: Mix ingredients, cook for 50 minutes.",
25,Sweet and Sour Pork,118,Chef Wu,12,29,41,2025-09-21,A delicious Chinese dish featuring sweet and sour pork.,https://example.com/sweet-and-sour-pork.jpg,Appetizer,"Chinese, sweet and sour pork",1 cups rice,"tomato, tofu",4.6,330,544,10,5,70,1725,95,12,30,17,3,3 servings,"Recipe for Sweet and Sour Pork: Mix ingredients, cook for 12 minutes.",
26,Biryani,115,Chef Zhang,24,45,69,2025-06-11,A delicious Indian dish featuring biryani.,https://example.com/biryani.jpg,Side Dish,"Indian, biryani",1 cups rice,"tomato, beef",4.9,418,328,18,5,134,1980,38,5,17,14,7,7 servings,"Recipe for Biryani: Mix ingredients, cook for 24 minutes.",
27,Ramen,117,Chef Han,103,20,123,2025-02-19,A delicious Japanese dish featuring ramen.,https://example.com/ramen.jpg,Breakfast,"Japanese, ramen",3 cups spices,"ginger, vegetables",4.5,378,229,32,17,23,455,82,15,6,32,3,3 servings,"Recipe for Ramen: Mix ingredients, cook for 103 minutes.",
28,Kung Pao Chicken,117,Chef Han,14,14,28,2025-06-10,A delicious Chinese dish featuring kung pao chicken.,https://example.com/kung-pao-chicken.jpg,Appetizer,"Chinese, kung pao chicken",2 cups spices,"tomato, vegetables",4.9,172,702,10,13,51,590,44,9,10,10,4,4 servings,"Recipe for Kung Pao Chicken: Mix ingredients, cook for 14 minutes.",
29,Tom Yum,101,Chef Raj,72,22,94,2025-02-24,A delicious Japanese dish featuring tom yum.,https://example.com/tom-yum.jpg,Side Dish,"Japanese, tom yum",4 cups spices,"tomato, beef",4.7,436,583,39,14,65,791,50,7,9,31,4,4 servings,"Recipe for Tom Yum: Mix ingredients, cook for 72 minutes.",
30,Ramen,117,Chef Han,13,38,51,2025-07-16,A delicious Japanese dish featuring ramen.,https://example.com/ramen.jpg,Side Dish,"Japanese, ramen",1 cups chicken,"ginger, beef",4.4,223,635,38,16,114,1329,84,10,13,23,4,4 servings,"Recipe for Ramen: Mix ingredients, cook for 13 minutes.",
31,Sushi,101,Chef Raj,61,59,120,2024-11-25,A delicious Vietnamese dish featuring sushi.,https://example.com/sushi.jpg,Appetizer,"Vietnamese, sushi",3 cups chicken,"ginger, chicken",4.5,333,796,32,16,25,1131,73,5,13,16,7,7 servings,"Recipe for Sushi: Mix ingredients, cook for 61 minutes.",
32,Pho,117,Chef Han,45,8,53,2024-11-29,A delicious Japanese dish featuring pho.,https://example.com/pho.jpg,Snack,"Japanese, pho",5 cups rice,"onion, tofu",4.5,166,542,36,13,122,760,80,11,13,32,8,8 servings,"Recipe for Pho: Mix ingredients, cook for 45 minutes.",
33,Pad Thai,109,Chef Chen,89,31,120,2024-12-19,A delicious Vietnamese dish featuring pad thai.,https://example.com/pad-thai.jpg,Snack,"Vietnamese, pad thai",2 cups chicken,"garlic, tofu",4.4,226,480,41,17,142,1325,73,13,11,14,5,5 servings,"Recipe for Pad Thai: Mix ingredients, cook for 89 minutes.",
34,Tempura,119,Chef Gupta,111,39,150,2025-07-17,A delicious Thai dish featuring tempura.,https://example.com/tempura.jpg,Dessert,"Thai, tempura",3 cups vegetables,"onion, tofu",4.2,177,373,26,9,46,585,78,10,30,37,4,4 servings,"Recipe for Tempura: Mix ingredients, cook for 111 minutes.",
35,Tom Yum,120,Chef Jung,29,35,64,2024-11-13,A delicious Japanese dish featuring tom yum.,https://example.com/tom-yum.jpg,Snack,"Japanese, tom yum",4 cups spices,"ginger, vegetables",4.2,328,485,14,13,64,1649,56,6,9,30,4,4 servings,"Recipe for Tom Yum: Mix ingredients, cook for 29 minutes.",
36,Pad Thai,102,Chef Kim,80,56,136,2025-09-12,A delicious Thai dish featuring pad thai.,https://example.com/pad-thai.jpg,Snack,"Thai, pad thai",5 cups chicken,"ginger, beef",4.7,364,397,10,14,81,822,73,15,23,20,2,2 servings,"Recipe for Pad Thai: Mix ingredients, cook for 80 minutes.",
37,Nasi Goreng,108,Chef Lee,51,21,72,2025-08-31,A delicious Thai dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Dessert,"Thai, nasi goreng",5 cups rice,"tomato, vegetables",4.0,325,794,41,18,103,871,30,14,28,31,3,3 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 51 minutes.",
38,Spring Rolls,115,Chef Zhang,99,35,134,2025-09-25,A delicious Chinese dish featuring spring rolls.,https://example.com/spring-rolls.jpg,Side Dish,"Chinese, spring rolls",1 cups chicken,"ginger, tofu",4.7,490,374,14,15,105,1915,37,5,16,23,5,5 servings,"Recipe for Spring Rolls: Mix ingredients, cook for 99 minutes.",
39,Rajma,116,Chef Singh,112,56,168,2025-03-20,A delicious Indian dish featuring rajma.,https://example.com/rajma.jpg,Appetizer,"Indian, rajma",1 cups chicken,"garlic, tofu",4.8,114,669,31,7,117,564,60,8,22,28,3,3 servings,"Recipe for Rajma: Mix ingredients, cook for 112 minutes.",
40,Nasi Goreng,117,Chef Han,55,49,104,2025-05-22,A delicious Thai dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Soup,"Thai, nasi goreng",2 cups vegetables,"tomato, vegetables",4.1,206,427,13,6,101,822,53,15,25,39,4,4 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 55 minutes.",
41,Nasi Goreng,104,Chef Ahmed,39,40,79,2025-07-07,A delicious Japanese dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Breakfast,"Japanese, nasi goreng",4 cups chicken,"tomato, beef",4.2,265,483,11,9,52,801,44,9,12,13,7,7 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 39 minutes.",
42,Nasi Goreng,119,Chef Gupta,100,11,111,2025-04-10,A delicious Vietnamese dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Soup,"Vietnamese, nasi goreng",4 cups rice,"ginger, beef",4.3,236,480,14,16,96,802,30,5,13,38,2,2 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 100 minutes.",
43,Biryani,106,Chef Wang,62,59,121,2025-09-11,A delicious Indian dish featuring biryani.,https://example.com/biryani.jpg,Breakfast,"Indian, biryani",2 cups vegetables,"onion, vegetables",4.7,68,650,33,13,141,877,45,15,22,35,2,2 servings,"Recipe for Biryani: Mix ingredients, cook for 62 minutes.",
44,Pho,110,Chef Kumar,46,55,101,2025-03-27,A delicious Thai dish featuring pho.,https://example.com/pho.jpg,Breakfast,"Thai, pho",5 cups spices,"onion, tofu",4.1,430,368,18,20,133,1407,32,5,17,17,4,4 servings,"Recipe for Pho: Mix ingredients, cook for 46 minutes.",
45,Banh Mi,110,Chef Kumar,117,6,123,2025-05-19,A delicious Thai dish featuring banh mi.,https://example.com/banh-mi.jpg,Snack,"Thai, banh mi",3 cups rice,"garlic, chicken",4.4,362,592,10,6,123,916,88,3,9,28,4,4 servings,"Recipe for Banh Mi: Mix ingredients, cook for 117 minutes.",
46,Pad Thai,112,Chef Liu,49,29,78,2024-11-14,A delicious Japanese dish featuring pad thai.,https://example.com/pad-thai.jpg,Snack,"Japanese, pad thai",3 cups spices,"ginger, vegetables",4.7,423,705,42,13,128,921,44,10,19,38,4,4 servings,"Recipe for Pad Thai: Mix ingredients, cook for 49 minutes.",
47,Ramen,107,Chef Sharma,28,18,46,2025-04-18,A delicious Japanese dish featuring ramen.,https://example.com/ramen.jpg,Side Dish,"Japanese, ramen",3 cups vegetables,"garlic, tofu",4.2,379,701,28,9,70,1074,54,7,25,30,2,2 servings,"Recipe for Ramen: Mix ingredients, cook for 28 minutes.",
48,Tempura,103,Chef Li,94,27,121,2025-09-27,A delicious Vietnamese dish featuring tempura.,https://example.com/tempura.jpg,Soup,"Vietnamese, tempura",3 cups rice,"ginger, tofu",4.8,150,538,28,9,47,1906,95,11,9,19,6,6 servings,"Recipe for Tempura: Mix ingredients, cook for 94 minutes.",
49,Bulgogi,107,Chef Sharma,57,30,87,2025-05-10,A delicious Korean dish featuring bulgogi.,https://example.com/bulgogi.jpg,Side Dish,"Korean, bulgogi",5 cups chicken,"ginger, chicken",4.7,179,438,44,16,106,424,83,12,26,23,3,3 servings,"Recipe for Bulgogi: Mix ingredients, cook for 57 minutes.",
50,Tom Yum,114,Chef Yoon,72,16,88,2025-07-02,A delicious Vietnamese dish featuring tom yum.,https://example.com/tom-yum.jpg,Breakfast,"Vietnamese, tom yum",3 cups vegetables,"garlic, chicken",4.9,295,754,36,7,129,451,99,5,7,12,8,8 servings,"Recipe for Tom Yum: Mix ingredients, cook for 72 minutes.",
51,Japchae,111,Chef Choi,68,33,101,2025-09-03,A delicious Korean dish featuring japchae.,https://example.com/japchae.jpg,Breakfast,"Korean, japchae",1 cups vegetables,"garlic, chicken",4.4,182,497,30,8,41,679,100,3,7,36,5,5 servings,"Recipe for Japchae: Mix ingredients, cook for 68 minutes.",
52,Hot Pot,117,Chef Han,16,15,31,2025-04-29,A delicious Chinese dish featuring hot pot.,https://example.com/hot-pot.jpg,Snack,"Chinese, hot pot",4 cups spices,"tomato, vegetables",4.7,73,254,30,5,91,1075,81,9,10,14,8,8 servings,"Recipe for Hot Pot: Mix ingredients, cook for 16 minutes.",
53,Biryani,119,Chef Gupta,67,46,113,2025-06-06,A delicious Indian dish featuring biryani.,https://example.com/biryani.jpg,Snack,"Indian, biryani",3 cups vegetables,"garlic, vegetables",4.5,50,371,50,20,98,1351,41,6,18,16,6,6 servings,"Recipe for Biryani: Mix ingredients, cook for 67 minutes.",
54,Dosa,102,Chef Kim,65,60,125,2025-05-05,A delicious Indian dish featuring dosa.,https://example.com/dosa.jpg,Soup,"Indian, dosa",2 cups chicken,"onion, vegetables",4.8,331,215,46,18,142,1689,50,10,25,18,8,8 servings,"Recipe for Dosa: Mix ingredients, cook for 65 minutes.",
55,Paneer Tikka,101,Chef Raj,75,18,93,2025-04-07,A delicious Indian dish featuring paneer tikka.,https://example.com/paneer-tikka.jpg,Dessert,"Indian, paneer tikka",5 cups spices,"ginger, beef",4.3,370,660,46,19,60,1093,30,3,30,38,7,7 servings,"Recipe for Paneer Tikka: Mix ingredients, cook for 75 minutes.",
56,Nasi Goreng,112,Chef Liu,108,54,162,2025-07-26,A delicious Thai dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Appetizer,"Thai, nasi goreng",2 cups spices,"ginger, vegetables",4.2,65,532,46,5,140,1822,54,12,13,21,5,5 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 108 minutes.",
57,Banh Mi,107,Chef Sharma,73,31,104,2024-12-04,A delicious Japanese dish featuring banh mi.,https://example.com/banh-mi.jpg,Snack,"Japanese, banh mi",3 cups spices,"tomato, tofu",4.2,482,652,18,18,127,697,66,7,29,37,6,6 servings,"Recipe for Banh Mi: Mix ingredients, cook for 73 minutes.",
58,Kimchi Jjigae,117,Chef Han,117,57,174,2025-03-25,A delicious Korean dish featuring kimchi jjigae.,https://example.com/kimchi-jjigae.jpg,Main Dish,"Korean, kimchi jjigae",1 cups vegetables,"tomato, vegetables",4.8,450,262,22,5,57,1404,83,14,14,14,5,5 servings,"Recipe for Kimchi Jjigae: Mix ingredients, cook for 117 minutes.",
59,Sweet and Sour Pork,107,Chef Sharma,46,51,97,2025-10-16,A delicious Chinese dish featuring sweet and sour pork.,https://example.com/sweet-and-sour-pork.jpg,Soup,"Chinese, sweet and sour pork",5 cups spices,"tomato, beef",4.0,95,377,16,14,66,1221,79,4,27,21,8,8 servings,"Recipe for Sweet and Sour Pork: Mix ingredients, cook for 46 minutes.",
60,Nasi Goreng,102,Chef Kim,56,15,71,2025-01-10,A delicious Japanese dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Breakfast,"Japanese, nasi goreng",1 cups rice,"ginger, vegetables",4.7,334,274,48,8,79,1580,57,14,9,13,8,8 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 56 minutes.",
61,Beijing Duck,112,Chef Liu,49,35,84,2025-01-19,A delicious Chinese dish featuring beijing duck.,https://example.com/beijing-duck.jpg,Appetizer,"Chinese, beijing duck",4 cups rice,"tomato, tofu",4.8,124,466,31,19,45,638,52,4,12,19,4,4 servings,"Recipe for Beijing Duck: Mix ingredients, cook for 49 minutes.",
62,Nasi Goreng,106,Chef Wang,27,35,62,2025-01-09,A delicious Japanese dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Snack,"Japanese, nasi goreng",5 cups vegetables,"tomato, beef",4.3,164,270,50,8,100,1370,49,10,28,13,2,2 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 27 minutes.",
63,Nasi Goreng,111,Chef Choi,107,34,141,2024-12-02,A delicious Thai dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Dessert,"Thai, nasi goreng",3 cups spices,"ginger, tofu",4.8,402,300,13,8,123,1468,89,11,6,10,2,2 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 107 minutes.",
64,Dumplings,108,Chef Lee,39,21,60,2025-05-07,A delicious Chinese dish featuring dumplings.,https://example.com/dumplings.jpg,Snack,"Chinese, dumplings",1 cups vegetables,"tomato, chicken",4.8,83,704,27,20,27,424,54,12,11,30,4,4 servings,"Recipe for Dumplings: Mix ingredients, cook for 39 minutes.",
65,Ramen,101,Chef Raj,25,54,79,2024-10-29,A delicious Japanese dish featuring ramen.,https://example.com/ramen.jpg,Soup,"Japanese, ramen",5 cups rice,"ginger, tofu",4.6,438,224,18,18,117,597,36,4,20,11,5,5 servings,"Recipe for Ramen: Mix ingredients, cook for 25 minutes.",
66,Tempura,119,Chef Gupta,66,13,79,2025-08-10,A delicious Vietnamese dish featuring tempura.,https://example.com/tempura.jpg,Soup,"Vietnamese, tempura",1 cups rice,"onion, beef",4.5,135,565,50,16,60,1755,83,10,19,40,4,4 servings,"Recipe for Tempura: Mix ingredients, cook for 66 minutes.",
67,Tom Yum,103,Chef Li,49,8,57,2025-07-30,A delicious Japanese dish featuring tom yum.,https://example.com/tom-yum.jpg,Dessert,"Japanese, tom yum",2 cups chicken,"ginger, chicken",4.2,93,456,48,18,67,1349,92,10,15,26,8,8 servings,"Recipe for Tom Yum: Mix ingredients, cook for 49 minutes.",
68,Mapo Tofu,119,Chef Gupta,16,54,70,2025-02-26,A delicious Chinese dish featuring mapo tofu.,https://example.com/mapo-tofu.jpg,Side Dish,"Chinese, mapo tofu",2 cups rice,"ginger, vegetables",4.6,210,323,25,10,54,1171,43,8,9,28,2,2 servings,"Recipe for Mapo Tofu: Mix ingredients, cook for 16 minutes.",
69,Banh Mi,114,Chef Yoon,80,58,138,2024-12-21,A delicious Japanese dish featuring banh mi.,https://example.com/banh-mi.jpg,Soup,"Japanese, banh mi",3 cups spices,"onion, beef",4.5,445,715,24,9,128,1128,95,13,15,30,8,8 servings,"Recipe for Banh Mi: Mix ingredients, cook for 80 minutes.",
70,Dosa,118,Chef Wu,115,38,153,2024-12-22,A delicious Indian dish featuring dosa.,https://example.com/dosa.jpg,Dessert,"Indian, dosa",3 cups chicken,"tomato, tofu",4.9,468,690,22,16,70,1233,43,14,5,37,8,8 servings,"Recipe for Dosa: Mix ingredients, cook for 115 minutes.",
71,Tteokbokki,106,Chef Wang,32,55,87,2025-03-10,A delicious Korean dish featuring tteokbokki.,https://example.com/tteokbokki.jpg,Soup,"Korean, tteokbokki",5 cups chicken,"tomato, chicken",4.3,298,300,39,19,59,1098,79,12,14,22,2,2 servings,"Recipe for Tteokbokki: Mix ingredients, cook for 32 minutes.",
72,Japchae,113,Chef Patel,33,5,38,2025-08-13,A delicious Korean dish featuring japchae.,https://example.com/japchae.jpg,Appetizer,"Korean, japchae",5 cups chicken,"onion, vegetables",4.9,182,632,29,15,121,596,67,6,26,27,8,8 servings,"Recipe for Japchae: Mix ingredients, cook for 33 minutes.",
73,Tempura,101,Chef Raj,39,53,92,2025-01-17,A delicious Japanese dish featuring tempura.,https://example.com/tempura.jpg,Soup,"Japanese, tempura",4 cups vegetables,"onion, beef",4.3,197,653,11,6,138,697,59,5,9,19,3,3 servings,"Recipe for Tempura: Mix ingredients, cook for 39 minutes.",
74,Pad Thai,111,Chef Choi,11,6,17,2025-10-17,A delicious Thai dish featuring pad thai.,https://example.com/pad-thai.jpg,Dessert,"Thai, pad thai",3 cups chicken,"tomato, chicken",4.6,229,489,44,20,65,868,89,7,20,31,6,6 servings,"Recipe for Pad Thai: Mix ingredients, cook for 11 minutes.",
75,Nasi Goreng,105,Chef Park,73,41,114,2025-03-30,A delicious Japanese dish featuring nasi goreng.,https://example.com/nasi-goreng.jpg,Main Dish,"Japanese, nasi goreng",1 cups rice,"tomato, chicken",4.1,376,351,29,19,40,1674,81,4,29,37,7,7 servings,"Recipe for Nasi Goreng: Mix ingredients, cook for 73 minutes.",
76,Green Curry,113,Chef Patel,61,33,94,2024-10-20,A delicious Japanese dish featuring green curry.,https://example.com/green-curry.jpg,Snack,"Japanese, green curry",2 cups vegetables,"onion, vegetables",4.9,475,240,16,15,25,426,55,5,20,25,8,8 servings,"Recipe for Green Curry: Mix ingredients, cook for 61 minutes.",
77,Satay,118,Chef Wu,76,12,88,2025-07-25,A delicious Japanese dish featuring satay.,https://example.com/satay.jpg,Soup,"Japanese, satay",4 cups rice,"onion, beef",4.2,279,212,29,5,130,1384,44,13,8,19,3,3 servings,"Recipe for Satay: Mix ingredients, cook for 76 minutes.",
78,Satay,118,Chef Wu,106,41,147,2025-05-26,A delicious Thai dish featuring satay.,https://example.com/satay.jpg,Side Dish,"Thai, satay",3 cups chicken,"garlic, chicken",4.4,212,335,50,18,128,1744,66,3,11,31,5,5 servings,"Recipe for Satay: Mix ingredients, cook for 106 minutes.",
79,Japchae,101,Chef Raj,90,23,113,2025-03-17,A delicious Korean dish featuring japchae.,https://example.com/japchae.jpg,Appetizer,"Korean, japchae",3 cups vegetables,"garlic, chicken",4.4,405,248,12,7,67,1779,54,7,17,31,8,8 servings,"Recipe for Japchae: Mix ingredients, cook for 90 minutes.",
80,Dumplings,120,Chef Jung,114,50,164,2025-05-08,A delicious Chinese dish featuring dumplings.,https://example.com/dumplings.jpg,Main Dish,"Chinese, dumplings",1 cups spices,"onion, chicken",4.7,477,758,26,10,102,826,64,9,24,10,3,3 servings,"Recipe for Dumplings: Mix ingredients, cook for 114 minutes.",
81,Chana Masala,113,Chef Patel,64,39,103,2025-02-07,A delicious Indian dish featuring chana masala.,https://example.com/chana-masala.jpg,Main Dish,"Indian, chana masala",4 cups chicken,"onion, chicken",4.7,204,594,29,10,148,1741,44,5,25,38,4,4 servings,"Recipe for Chana Masala: Mix ingredients, cook for 64 minutes.",
82,Aloo Gobi,106,Chef Wang,25,19,44,2024-12-25,A delicious Indian dish featuring aloo gobi.,https://example.com/aloo-gobi.jpg,Dessert,"Indian, aloo gobi",1 cups spices,"tomato, beef",4.5,232,590,16,16,60,1484,59,10,26,37,5,5 servings,"Recipe for Aloo Gobi: Mix ingredients, cook for 25 minutes.",
83,Pad Thai,114,Chef Yoon,40,27,67,2024-12-24,A delicious Thai dish featuring pad thai.,https://example.com/pad-thai.jpg,Snack,"Thai, pad thai",2 cups rice,"garlic, chicken",4.6,359,446,29,8,73,655,45,6,18,37,8,8 servings,"Recipe for Pad Thai: Mix ingredients, cook for 40 minutes.",
