Title,Sub Category,Price,OriginalPrice,Discount,Rating,Product Description
Curd Homemade Style 500 g,Personal Care,1914.43,2015.19,5%,3.7,Rich in nutrients and ideal for family consumption: Curd Homemade Style 500 g.
Eggs Pack (12 pcs),Dairy,959.83,959.83,0%,4.9,"Features: Good quality, see product label."
Cheddar Cheese 200 g,Frozen,1241.97,1241.97,0%,4.0,Rich in nutrients and ideal for family consumption: Cheddar Cheese 200 g.
Sliced Bread 400 g,Rice & Grains,632.54,702.82,10%,3.6,Fresh and hygienically packed Sliced Bread 400 g.
Breakfast Cereal 500 g,Dairy,1662.99,2217.32,25%,3.7,Rich in nutrients and ideal for family consumption: Breakfast Cereal 500 g.
Corn Flakes 300 g,Baby Care,1897.95,2108.83,10%,4.6,"Premium grade Corn Flakes 300 g, loved by customers."
Peanut Butter Smooth 350 g,Spices,179.96,179.96,0%,,Rich in nutrients and ideal for family consumption: Peanut Butter Smooth 350 g.
Jam Mixed Fruit 500 g,Staples,214.64,238.49,10%,3.8,Jam Mixed Fruit 500 g made from premium ingredients to ensure best taste.
Honey Pure 250 g,Personal Care,247.38,247.38,0%,3.7,Honey Pure 250 g with authentic flavor and long shelf life.
Tea Dust 500 g,Beverages,1970.16,2462.7,20%,,Tea Dust 500 g — value pack with guaranteed freshness.
Green Tea Bags 25 pcs,Condiments & Sauces,1188.88,1398.68,15%,4.5,Green Tea Bags 25 pcs — value pack with guaranteed freshness.
Instant Coffee 100 g,Frozen,73.87,73.87,0%,,Instant Coffee 100 g with authentic flavor and long shelf life.
Coffee Powder 200 g,Beverages,2191.24,2191.24,0%,4.7,High-quality Coffee Powder 200 g suitable for everyday use.
Oats Rolled 1 kg,Pulses,2139.9,2139.9,0%,4.2,High-quality Oats Rolled 1 kg suitable for everyday use.
Muesli 500 g,Bakery,972.27,1388.96,30%,3.9,Muesli 500 g — value pack with guaranteed freshness.
Protein Powder 1 kg,Baby Care,1278.28,1278.28,0%,,High-quality Protein Powder 1 kg suitable for everyday use.
Instant Noodles Masala 70 g,Frozen,180.63,200.7,10%,4.3,Instant Noodles Masala 70 g made from premium ingredients to ensure best taste.
Pasta Penne 500 g,Bakery,208.56,208.56,0%,4.8,"Features: Good quality, see product label."
Tomato Ketchup 500 g,Kitchen Supplies,645.69,717.43,10%,4.4,"Premium grade Tomato Ketchup 500 g, loved by customers."
Mustard Sauce 500 g,Snacks,542.48,638.21,15%,3.9,Mustard Sauce 500 g with no artificial preservatives.
Mayonnaise 250 g,Spices,273.08,273.08,0%,4.2,"Features: Good quality, see product label."
Soya Sauce 200 ml,Pulses,1362.58,1434.29,5%,3.7,Rich in nutrients and ideal for family consumption: Soya Sauce 200 ml.
Tortilla Chips 200 g,Meat & Seafood,741.07,780.07,5%,4.3,"Features: Good quality, see product label."
Potato Chips 150 g,Personal Care,293.3,293.3,0%,4.5,Potato Chips 150 g made from premium ingredients to ensure best taste.
Roasted Peanuts 200 g,Oils & Ghee,1866.35,1866.35,0%,3.9,Roasted Peanuts 200 g with no artificial preservatives.
Dry Fruit Mix 250 g,Personal Care,320.65,400.81,20%,3.6,High-quality Dry Fruit Mix 250 g suitable for everyday use.
Salted Cashews 200 g,Frozen,1936.95,2152.17,10%,3.9,Salted Cashews 200 g — value pack with guaranteed freshness.
Almonds Premium 200 g,Baby Care,63.79,63.79,0%,4.8,"Premium grade Almonds Premium 200 g, loved by customers."
Walnuts 200 g,Kitchen Supplies,1399.21,1472.85,5%,3.6,"Features: Good quality, see product label."
Raisins 200 g,Rice & Grains,2251.35,2251.35,0%,,Raisins 200 g — value pack with guaranteed freshness.
Dates Medjool 250 g,Dairy,113.39,113.39,0%,,Fresh and hygienically packed Dates Medjool 250 g.
Biscuits Tea 300 g,Frozen,1964.67,2068.07,5%,4.5,Fresh and hygienically packed Biscuits Tea 300 g.
Digestive Biscuits 300 g,Oils & Ghee,981.05,981.05,0%,,"Features: Good quality, see product label."
Marie Biscuits 400 g,Meat & Seafood,790.77,930.32,15%,,"Premium grade Marie Biscuits 400 g, loved by customers."
Chocolate Bar 100 g,Snacks,339.74,339.74,0%,4.5,"Features: Good quality, see product label."
Dark Chocolate 100 g,Baby Care,48.56,60.7,20%,3.9,"Features: Good quality, see product label."
Ice Cream Vanilla 500 ml,Rice & Grains,306.67,322.81,5%,4.6,Ice Cream Vanilla 500 ml made from premium ingredients to ensure best taste.
Frozen Peas 400 g,Convenience Foods,2252.78,2252.78,0%,3.6,Rich in nutrients and ideal for family consumption: Frozen Peas 400 g.
Frozen Mixed Veg 400 g,Meat & Seafood,1100.99,1467.99,25%,4.9,Frozen Mixed Veg 400 g made from premium ingredients to ensure best taste.
Paneer Tikka Ready 300 g,Dry Fruits,1287.52,1430.58,10%,4.0,Rich in nutrients and ideal for family consumption: Paneer Tikka Ready 300 g.
Chicken Curry Cut 500 g,Condiments & Sauces,1675.73,1675.73,0%,,Chicken Curry Cut 500 g — value pack with guaranteed freshness.
Fish Fillet 400 g,Baby Care,2090.96,2090.96,0%,3.8,"Premium grade Fish Fillet 400 g, loved by customers."
Soya Chunks 200 g,Spices,1126.79,1251.99,10%,4.3,"Features: Good quality, see product label."
Paneer 200 g,Bakery,1660.77,1660.77,0%,4.5,Rich in nutrients and ideal for family consumption: Paneer 200 g.
Sprouted Moong 200 g,Dry Fruits,592.62,592.62,0%,3.5,Sprouted Moong 200 g made from premium ingredients to ensure best taste.
Millet Ragi Flour 1 kg,Spices,1618.84,1618.84,0%,4.5,High-quality Millet Ragi Flour 1 kg suitable for everyday use.
Jowar Flour 1 kg,Oils & Ghee,640.84,801.05,20%,4.5,Jowar Flour 1 kg made from premium ingredients to ensure best taste.
Bajra Flour 1 kg,Spices,1225.85,1290.37,5%,4.3,Bajra Flour 1 kg with authentic flavor and long shelf life.
Breakfast Mix 400 g,Personal Care,1089.78,1453.04,25%,,Breakfast Mix 400 g with authentic flavor and long shelf life.
Idli Dosa Batter 1 kg,Snacks,2118.87,2118.87,0%,4.7,Idli Dosa Batter 1 kg with authentic flavor and long shelf life.
Coconut Oil 500 ml,Pulses,1795.32,1795.32,0%,4.0,Fresh and hygienically packed Coconut Oil 500 ml.
Coconut Milk 400 ml,Beverages,982.27,982.27,0%,3.8,Coconut Milk 400 ml with authentic flavor and long shelf life.
Almond Milk 1 L,Condiments & Sauces,193.17,241.46,20%,4.1,"Features: Good quality, see product label."
Soy Milk 1 L,Staples,2147.56,2526.54,15%,,Soy Milk 1 L — value pack with guaranteed freshness.
Fruit Juice Mango 1 L,Condiments & Sauces,1364.02,1604.73,15%,4.7,Fruit Juice Mango 1 L with no artificial preservatives.
Fruit Juice Orange 1 L,Condiments & Sauces,1234.68,1234.68,0%,4.5,Fruit Juice Orange 1 L with authentic flavor and long shelf life.
Tomato Puree 500 g,Dairy,2452.58,2581.66,5%,4.9,Tomato Puree 500 g made from premium ingredients to ensure best taste.
Mixed Vegetable Pickle 500 g,Condiments & Sauces,373.82,393.49,5%,3.6,"Premium grade Mixed Vegetable Pickle 500 g, loved by customers."
Mango Pickle 500 g,Frozen,1912.63,1912.63,0%,4.6,Mango Pickle 500 g made from premium ingredients to ensure best taste.
Lentil Sambar Powder 200 g,Household,87.68,92.29,5%,5.0,High-quality Lentil Sambar Powder 200 g suitable for everyday use.
Chili Powder 100 g,Staples,101.8,101.8,0%,,Rich in nutrients and ideal for family consumption: Chili Powder 100 g.
Turmeric Powder 100 g,Spices,277.74,277.74,0%,4.4,Fresh and hygienically packed Turmeric Powder 100 g.
Coriander Powder 100 g,Dry Fruits,47.96,47.96,0%,4.5,Rich in nutrients and ideal for family consumption: Coriander Powder 100 g.
Cumin Seeds 100 g,Pulses,297.48,297.48,0%,4.5,Cumin Seeds 100 g made from premium ingredients to ensure best taste.
Black Pepper 50 g,Kitchen Supplies,147.63,155.4,5%,4.1,Black Pepper 50 g — value pack with guaranteed freshness.
Cloves 25 g,Household,337.84,375.38,10%,4.7,Cloves 25 g with no artificial preservatives.
Cinnamon Sticks 25 g,Baby Care,184.11,230.14,20%,4.4,Cinnamon Sticks 25 g made from premium ingredients to ensure best taste.
Bay Leaves 10 g,Snacks,2208.81,2208.81,0%,4.2,High-quality Bay Leaves 10 g suitable for everyday use.
Cardamom 20 g,Household,96.37,96.37,0%,4.7,Cardamom 20 g with no artificial preservatives.
Handwash Liquid 500 ml,Baby Care,64.97,86.63,25%,3.6,Rich in nutrients and ideal for family consumption: Handwash Liquid 500 ml.
Dishwash Liquid 750 ml,Household,1628.92,1714.65,5%,,Rich in nutrients and ideal for family consumption: Dishwash Liquid 750 ml.
Laundry Detergent 2 kg,Dry Fruits,998.27,1109.19,10%,4.0,"Premium grade Laundry Detergent 2 kg, loved by customers."
Toothpaste 150 g,Spices,117.94,117.94,0%,,Fresh and hygienically packed Toothpaste 150 g.
Shampoo 340 ml,Breakfast,572.31,602.43,5%,4.6,Shampoo 340 ml with no artificial preservatives.
Conditioner 200 ml,Oils & Ghee,2088.27,2088.27,0%,4.0,Fresh and hygienically packed Conditioner 200 ml.
Facewash 100 ml,Snacks,151.97,151.97,0%,3.9,Facewash 100 ml with authentic flavor and long shelf life.
Sanitary Pads 8 pcs,Oils & Ghee,2186.89,2429.88,10%,4.2,High-quality Sanitary Pads 8 pcs suitable for everyday use.
Baby Diapers Medium 30 pcs,Snacks,2355.02,2478.97,5%,4.7,High-quality Baby Diapers Medium 30 pcs suitable for everyday use.
Paper Towels Roll 2 pcs,Dairy,407.03,452.26,10%,4.0,Paper Towels Roll 2 pcs — value pack with guaranteed freshness.
Aluminum Foil 10 m,Beverages,1025.3,1367.07,25%,3.9,High-quality Aluminum Foil 10 m suitable for everyday use.
Kitchen Tissue 100 sheets,Oils & Ghee,2371.07,2371.07,0%,3.8,Fresh and hygienically packed Kitchen Tissue 100 sheets.
Zipper Bags 30 pcs,Baby Care,224.66,224.66,0%,4.2,Rich in nutrients and ideal for family consumption: Zipper Bags 30 pcs.
Cooking Gas Lighter,Dry Fruits,1779.11,2093.07,15%,4.2,"Features: Good quality, see product label."
Matches Box 50 pcs,Kitchen Supplies,1666.51,2222.01,25%,4.1,Matches Box 50 pcs with no artificial preservatives.
Cutlery Disposable 50 pcs,Dairy,215.67,215.67,0%,4.0,Cutlery Disposable 50 pcs with no artificial preservatives.
Brown Bread 400 g,Spices,345.91,384.34,10%,4.5,Brown Bread 400 g with authentic flavor and long shelf life.
Multigrain Bread 400 g,Spices,237.89,237.89,0%,4.1,Multigrain Bread 400 g made from premium ingredients to ensure best taste.
Chocolate Muffins 200 g,Beverages,2406.3,3007.88,20%,4.4,"Features: Good quality, see product label."
Vanilla Cake 500 g,Snacks,1457.57,1714.79,15%,3.8,Vanilla Cake 500 g with no artificial preservatives.
Butter Cookies 300 g,Bakery,2492.49,2623.67,5%,4.7,Butter Cookies 300 g — value pack with guaranteed freshness.
Garlic Bread Sticks 200 g,Frozen,829.8,829.8,0%,3.7,Garlic Bread Sticks 200 g — value pack with guaranteed freshness.
Croissants 200 g,Baby Care,130.27,130.27,0%,,High-quality Croissants 200 g suitable for everyday use.
Cupcakes Chocolate 250 g,Baby Care,56.8,59.79,5%,4.4,High-quality Cupcakes Chocolate 250 g suitable for everyday use.
Cheese Spread 200 g,Breakfast,696.96,696.96,0%,3.9,High-quality Cheese Spread 200 g suitable for everyday use.
Butter Salted 500 g,Beverages,1786.07,1786.07,0%,3.5,Butter Salted 500 g made from premium ingredients to ensure best taste.
Butter Unsalted 500 g,Spices,2369.77,2633.08,10%,3.7,Butter Unsalted 500 g with no artificial preservatives.
Yogurt Flavored 400 g,Condiments & Sauces,2093.42,2990.6,30%,3.9,Fresh and hygienically packed Yogurt Flavored 400 g.
Greek Yogurt 200 g,Pulses,719.57,846.55,15%,4.1,High-quality Greek Yogurt 200 g suitable for everyday use.
Whipping Cream 250 ml,Dry Fruits,1826.09,2282.61,20%,4.4,Whipping Cream 250 ml with authentic flavor and long shelf life.
Condensed Milk 400 g,Baby Care,1231.48,1231.48,0%,4.6,"Features: Good quality, see product label."
Milk Powder 500 g,Breakfast,2452.71,2452.71,0%,4.1,"Premium grade Milk Powder 500 g, loved by customers."
Soft Drink Cola 1.25 L,Household,1774.86,2218.57,20%,4.1,Fresh and hygienically packed Soft Drink Cola 1.25 L.
Soft Drink Lemon 1.25 L,Household,2413.47,2413.47,0%,4.9,Soft Drink Lemon 1.25 L with authentic flavor and long shelf life.
Energy Drink 500 ml,Oils & Ghee,1333.84,1404.04,5%,4.6,Fresh and hygienically packed Energy Drink 500 ml.
Sparkling Water 750 ml,Pulses,1194.95,1707.07,30%,4.0,"Premium grade Sparkling Water 750 ml, loved by customers."
Packaged Drinking Water 1 L,Baby Care,974.82,974.82,0%,4.6,High-quality Packaged Drinking Water 1 L suitable for everyday use.
Coconut Water 1 L,Pulses,617.53,686.14,10%,3.9,Coconut Water 1 L made from premium ingredients to ensure best taste.
Fruit Juice Apple 1 L,Oils & Ghee,1131.45,1257.17,10%,,Fruit Juice Apple 1 L with no artificial preservatives.
Fruit Juice Pomegranate 1 L,Meat & Seafood,962.11,962.11,0%,4.3,Fresh and hygienically packed Fruit Juice Pomegranate 1 L.
Popcorn Salted 200 g,Bakery,234.26,292.82,20%,4.4,"Features: Good quality, see product label."
Popcorn Butter 200 g,Dairy,611.18,679.09,10%,4.2,Popcorn Butter 200 g with authentic flavor and long shelf life.
Namkeen Mixture 500 g,Dry Fruits,1706.92,1706.92,0%,4.2,Namkeen Mixture 500 g — value pack with guaranteed freshness.
Sev Bhujia 200 g,Snacks,1163.82,1163.82,0%,5.0,Sev Bhujia 200 g — value pack with guaranteed freshness.
Samosa Frozen 500 g,Kitchen Supplies,923.04,923.04,0%,,Samosa Frozen 500 g — value pack with guaranteed freshness.
Spring Rolls Frozen 500 g,Snacks,59.92,74.9,20%,4.7,"Features: Good quality, see product label."
Pizza Frozen 300 g,Household,2088.78,2785.04,25%,4.7,Rich in nutrients and ideal for family consumption: Pizza Frozen 300 g.
Burger Patty Frozen 400 g,Breakfast,1567.39,1741.54,10%,4.6,Burger Patty Frozen 400 g made from premium ingredients to ensure best taste.
Fish Fingers Frozen 400 g,Rice & Grains,799.97,842.07,5%,4.4,Fish Fingers Frozen 400 g with no artificial preservatives.
Prawns Cleaned Frozen 500 g,Frozen,1878.8,1878.8,0%,3.7,"Features: Good quality, see product label."
Mutton Curry Cut 500 g,Personal Care,1274.42,1274.42,0%,3.7,"Features: Good quality, see product label."
Chicken Nuggets Frozen 400 g,Dry Fruits,1876.54,1876.54,0%,3.7,Rich in nutrients and ideal for family consumption: Chicken Nuggets Frozen 400 g.
Soap Bar Pack of 4,Convenience Foods,2419.48,3024.35,20%,4.0,Soap Bar Pack of 4 made from premium ingredients to ensure best taste.
Body Wash 250 ml,Spices,946.72,1113.79,15%,3.9,"Premium grade Body Wash 250 ml, loved by customers."
Shampoo Anti-Dandruff 340 ml,Oils & Ghee,1700.1,1789.58,5%,4.4,Rich in nutrients and ideal for family consumption: Shampoo Anti-Dandruff 340 ml.
Conditioner Smooth 200 ml,Pulses,1603.09,1687.46,5%,4.6,High-quality Conditioner Smooth 200 ml suitable for everyday use.
Face Cream 100 g,Rice & Grains,192.71,192.71,0%,,Face Cream 100 g — value pack with guaranteed freshness.
Hand Cream 100 g,Kitchen Supplies,87.9,92.53,5%,3.6,Hand Cream 100 g with no artificial preservatives.
Toothbrush Medium 3 pcs,Rice & Grains,1738.09,1738.09,0%,4.2,"Premium grade Toothbrush Medium 3 pcs, loved by customers."
Mouthwash 250 ml,Baby Care,2258.17,2509.08,10%,3.6,"Features: Good quality, see product label."
Sanitary Napkins 10 pcs,Spices,265.52,265.52,0%,4.5,"Premium grade Sanitary Napkins 10 pcs, loved by customers."
Baby Wipes 72 pcs,Beverages,2472.5,2908.82,15%,3.8,Rich in nutrients and ideal for family consumption: Baby Wipes 72 pcs.
Infant Formula 400 g,Beverages,848.26,848.26,0%,,Fresh and hygienically packed Infant Formula 400 g.
Baby Shampoo 200 ml,Dairy,1368.93,1610.51,15%,3.7,"Premium grade Baby Shampoo 200 ml, loved by customers."
Baby Lotion 200 ml,Beverages,1488.58,1488.58,0%,,Baby Lotion 200 ml made from premium ingredients to ensure best taste.
Baby Powder 200 g,Pulses,1211.57,1425.38,15%,,High-quality Baby Powder 200 g suitable for everyday use.
Frozen Corn 400 g,Personal Care,782.01,868.9,10%,3.5,Frozen Corn 400 g — value pack with guaranteed freshness.
Frozen French Fries 500 g,Oils & Ghee,1246.06,1661.41,25%,,Frozen French Fries 500 g made from premium ingredients to ensure best taste.
Ready-to-Eat Biryani 400 g,Dairy,716.54,796.16,10%,4.3,"Features: Good quality, see product label."
Ready-to-Eat Pasta 400 g,Personal Care,765.45,805.74,5%,4.1,Rich in nutrients and ideal for family consumption: Ready-to-Eat Pasta 400 g.
Ready-to-Eat Curry 300 g,Condiments & Sauces,1150.83,1150.83,0%,4.0,Ready-to-Eat Curry 300 g made from premium ingredients to ensure best taste.
Frozen Chicken Sausages 250 g,Frozen,246.18,246.18,0%,3.7,Frozen Chicken Sausages 250 g made from premium ingredients to ensure best taste.
Instant Soup Mix 50 g,Pulses,270.82,270.82,0%,,"Features: Good quality, see product label."
Tomato Soup Ready 500 ml,Baby Care,850.93,850.93,0%,4.0,High-quality Tomato Soup Ready 500 ml suitable for everyday use.
Fruit Jam Strawberry 500 g,Dry Fruits,1517.01,1517.01,0%,4.4,Rich in nutrients and ideal for family consumption: Fruit Jam Strawberry 500 g.
Fruit Jam Mango 500 g,Oils & Ghee,901.28,1001.42,10%,3.7,Fruit Jam Mango 500 g — value pack with guaranteed freshness.
Nutella Spread 350 g,Baby Care,293.71,326.34,10%,,"Features: Good quality, see product label."
Hazelnut Spread 250 g,Snacks,124.71,146.72,15%,4.9,Fresh and hygienically packed Hazelnut Spread 250 g.
Protein Bar 50 g,Kitchen Supplies,61.57,72.44,15%,,Protein Bar 50 g — value pack with guaranteed freshness.
Energy Bar 50 g,Condiments & Sauces,88.8,88.8,0%,4.0,High-quality Energy Bar 50 g suitable for everyday use.
Granola Bars 6 pcs,Dairy,427.23,474.7,10%,4.5,Granola Bars 6 pcs with authentic flavor and long shelf life.
Trail Mix 200 g,Spices,1058.89,1058.89,0%,4.3,Trail Mix 200 g with authentic flavor and long shelf life.
Choco Chip Cookies 250 g,Personal Care,54.08,54.08,0%,,Rich in nutrients and ideal for family consumption: Choco Chip Cookies 250 g.
Baking Powder 100 g,Dairy,129.73,129.73,0%,4.2,Rich in nutrients and ideal for family consumption: Baking Powder 100 g.
Custard Powder 100 g,Personal Care,247.09,247.09,0%,4.1,Custard Powder 100 g with authentic flavor and long shelf life.
Ice Cream Chocolate 500 ml,Pulses,2160.79,2400.88,10%,4.4,Ice Cream Chocolate 500 ml made from premium ingredients to ensure best taste.
Ice Cream Strawberry 500 ml,Convenience Foods,91.31,91.31,0%,4.7,"Premium grade Ice Cream Strawberry 500 ml, loved by customers."
Pasta Sauce Red 400 g,Pulses,1114.31,1114.31,0%,4.2,Pasta Sauce Red 400 g with no artificial preservatives.
Pasta Sauce White 400 g,Frozen,585.07,688.32,15%,3.6,Rich in nutrients and ideal for family consumption: Pasta Sauce White 400 g.
Soup Powder Hot & Sour 50 g,Meat & Seafood,337.05,374.5,10%,,Fresh and hygienically packed Soup Powder Hot & Sour 50 g.
Cereal Bar 40 g,Dairy,243.21,243.21,0%,4.7,Cereal Bar 40 g with authentic flavor and long shelf life.
Corn Chips 100 g,Kitchen Supplies,345.82,345.82,0%,5.0,Corn Chips 100 g with authentic flavor and long shelf life.
Nachos Cheese 200 g,Spices,1593.21,1874.36,15%,4.4,Nachos Cheese 200 g with authentic flavor and long shelf life.
Herbal Tea 20 bags,Spices,132.51,132.51,0%,3.9,"Features: Good quality, see product label."
Lemon Tea Bags 25 pcs,Pulses,1552.92,1634.65,5%,4.2,High-quality Lemon Tea Bags 25 pcs suitable for everyday use.
Pickle Lime 500 g,Spices,2276.26,2529.18,10%,3.8,High-quality Pickle Lime 500 g suitable for everyday use.
Pickle Garlic 500 g,Spices,294.61,392.81,25%,4.0,Fresh and hygienically packed Pickle Garlic 500 g.
Mixed Herbs Seasoning 50 g,Rice & Grains,175.71,184.96,5%,,Mixed Herbs Seasoning 50 g with no artificial preservatives.
Oregano Seasoning 50 g,Convenience Foods,144.89,160.99,10%,4.7,Oregano Seasoning 50 g made from premium ingredients to ensure best taste.
Kitchen Cleaner 500 ml,Baby Care,1708.81,1708.81,0%,4.6,"Features: Good quality, see product label."
Floor Cleaner 1 L,Dairy,860.07,955.63,10%,3.7,"Features: Good quality, see product label."
Toilet Cleaner 500 ml,Convenience Foods,357.22,420.26,15%,3.6,"Premium grade Toilet Cleaner 500 ml, loved by customers."
Laundry Liquid Detergent 1 L,Dairy,1688.49,2110.61,20%,4.6,Laundry Liquid Detergent 1 L — value pack with guaranteed freshness.
Dishwasher Tablets 30 pcs,Personal Care,930.1,930.1,0%,3.8,"Features: Good quality, see product label."
Garbage Bags 20 pcs,Household,512.33,731.9,30%,3.7,High-quality Garbage Bags 20 pcs suitable for everyday use.
Almond Drink 1 L,Frozen,2195.93,2439.92,10%,,Fresh and hygienically packed Almond Drink 1 L.
Rice Flour 1 kg,Spices,987.03,1161.21,15%,5.0,Rice Flour 1 kg with authentic flavor and long shelf life.
Besan Flour 1 kg,Beverages,856.53,1070.66,20%,4.2,Besan Flour 1 kg with authentic flavor and long shelf life.
Whole Masoor 1 kg,Spices,1971.94,2075.73,5%,,Fresh and hygienically packed Whole Masoor 1 kg.
Rajma Red 1 kg,Snacks,1263.81,1263.81,0%,4.9,Rajma Red 1 kg made from premium ingredients to ensure best taste.
Kabuli Chana 1 kg,Dry Fruits,501.54,527.94,5%,4.3,Rich in nutrients and ideal for family consumption: Kabuli Chana 1 kg.
Groundnut Oil 1 L,Spices,2216.19,2954.92,25%,4.1,Groundnut Oil 1 L — value pack with guaranteed freshness.
Sesame Oil 1 L,Pulses,962.29,962.29,0%,4.9,Fresh and hygienically packed Sesame Oil 1 L.
Herbal Shampoo 200 ml,Dairy,134.23,178.97,25%,4.2,Herbal Shampoo 200 ml with authentic flavor and long shelf life.
Amla Hair Oil 200 ml,Spices,1553.76,2071.68,25%,3.5,Amla Hair Oil 200 ml — value pack with guaranteed freshness.
Face Scrub 100 g,Oils & Ghee,113.67,113.67,0%,3.9,Face Scrub 100 g made from premium ingredients to ensure best taste.
Lip Balm 10 g,Oils & Ghee,2098.25,2208.68,5%,4.3,Fresh and hygienically packed Lip Balm 10 g.
